Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
62,tt0167190,2018-10-07,2018-10-07,,Hellboy,https://www.imdb.com/title/tt0167190/,movie,6.8,122,2004,"Action, Adventure, Fantasy, Mystery, Sci-Fi",318526,2004-03-30,Guillermo del Toro,,
63,tt0217505,2018-10-12,2018-10-12,,Gangs of New York,https://www.imdb.com/title/tt0217505/,movie,7.5,167,2002,"Crime, Drama",425773,2002-12-09,Martin Scorsese,,
64,tt3778644,2018-10-19,2018-10-19,,Solo: A Star Wars Story,https://www.imdb.com/title/tt3778644/,movie,6.9,135,2018,"Action, Adventure, Sci-Fi",320084,2018-05-10,Ron Howard,,
65,tt0448157,2018-10-22,2018-10-22,,Hancock,https://www.imdb.com/title/tt0448157/,movie,6.4,92,2008,"Action, Drama, Fantasy",464960,2008-06-16,Peter Berg,,
66,tt0112442,2018-10-22,2018-10-22,,Bad Boys,https://www.imdb.com/title/tt0112442/,movie,6.9,119,1995,"Action, Comedy, Crime, Thriller",254371,1995-04-06,Michael Bay,,
67,tt0213149,2018-11-06,2018-11-06,,Pearl Harbor,https://www.imdb.com/title/tt0213149/,movie,6.2,183,2001,"Action, Drama, History, Romance, War",323446,2001-05-21,Michael Bay,,
68,tt0117571,2018-11-14,2018-11-14,,Scream,https://www.imdb.com/title/tt0117571/,movie,7.3,111,1996,"Horror, Mystery",314456,1996-12-18,Wes Craven,,
69,tt4196776,2018-11-27,2018-11-27,,Jason Bourne,https://www.imdb.com/title/tt4196776/,movie,6.6,123,2016,"Action, Thriller",219620,2016-07-03,Paul Greengrass,,
70,tt1569923,2018-12-09,2018-12-09,,Batman: Under the Red Hood,https://www.imdb.com/title/tt1569923/,video,8.1,75,2010,"Animation, Action, Crime, Drama, Mystery, Sci-Fi, Thriller",59250,2010-07-27,Brandon Vietti,,
71,tt0118655,2018-12-09,2018-12-09,,Austin Powers: International Man of Mystery,https://www.imdb.com/title/tt0118655/,movie,7.0,94,1997,"Adventure, Comedy",232626,1997-04-29,Jay Roach,,
72,tt0407304,2018-12-09,2018-12-09,,War of the Worlds,https://www.imdb.com/title/tt0407304/,movie,6.5,116,2005,"Action, Adventure, Sci-Fi",433278,2005-06-13,Steven Spielberg,,
73,tt0438097,2018-12-09,2018-12-09,,Ice Age: The Meltdown,https://www.imdb.com/title/tt0438097/,movie,6.8,91,2006,"Animation, Adventure, Comedy, Family",268369,2006-03-29,Carlos Saldanha,,
74,tt2802850,2018-12-09,2018-12-09,,Fargo,https://www.imdb.com/title/tt2802850/,tvSeries,8.9,53,2014,"Crime, Drama, Thriller",353060,2014-04-15,,,
75,tt0362227,2018-12-09,2018-12-09,,The Terminal,https://www.imdb.com/title/tt0362227/,movie,7.4,128,2004,"Comedy, Drama, Romance",436530,2004-06-09,Steven Spielberg,,
76,tt0118799,2018-12-11,2018-12-11,,La vita è bella,https://www.imdb.com/title/tt0118799/,movie,8.6,116,1997,"Comedy, Drama, Romance, War",662381,1997-12-20,Roberto Benigni,,
77,tt0119217,2018-12-11,2018-12-11,,Good Will Hunting,https://www.imdb.com/title/tt0119217/,movie,8.3,126,1997,"Drama, Romance",916016,1997-12-02,Gus Van Sant,,
78,tt0099088,2018-12-20,2018-12-20,,Back to the Future Part III,https://www.imdb.com/title/tt0099088/,movie,7.4,118,1990,"Adventure, Comedy, Sci-Fi, Western",427478,1990-05-25,Robert Zemeckis,,
79,tt0056172,2019-01-09,2019-01-09,,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,movie,8.3,228,1962,"Adventure, Biography, Drama, War",283120,1962-12-10,David Lean,,
80,tt0195714,2019-01-13,2019-01-13,,Final Destination,https://www.imdb.com/title/tt0195714/,movie,6.7,98,2000,"Horror, Thriller",243823,2000-03-16,James Wong,,
81,tt0796366,2019-01-14,2019-01-14,,Star Trek,https://www.imdb.com/title/tt0796366/,movie,7.9,127,2009,"Action, Adventure, Sci-Fi",593622,2009-04-06,J.J. Abrams,,
82,tt0443272,2019-01-28,2019-01-28,,Lincoln,https://www.imdb.com/title/tt0443272/,movie,7.3,150,2012,"Biography, Drama, History, War",254560,2012-10-08,Steven Spielberg,,
83,tt0080339,2019-01-28,2019-01-28,,Airplane!,https://www.imdb.com/title/tt0080339/,movie,7.7,88,1980,Comedy,227784,1980-07-02,"Jim Abrahams, Jerry Zucker, David Zucker",,
84,tt0095705,2019-01-28,2019-01-28,,The Naked Gun: From the Files of Police Squad!,https://www.imdb.com/title/tt0095705/,movie,7.6,85,1988,"Comedy, Crime",162565,1988-12-02,David Zucker,,
85,tt0093409,2019-01-28,2019-01-28,,Lethal Weapon,https://www.imdb.com/title/tt0093409/,movie,7.6,109,1987,"Action, Crime, Thriller",249772,1987-03-06,Richard Donner,,
86,tt0795368,2019-01-28,2019-01-28,,Death at a Funeral,https://www.imdb.com/title/tt0795368/,movie,7.4,90,2007,Comedy,113480,2007-02-09,Frank Oz,,
